species,pop1,pop2,Kxy,Dxy
Nasua narica,Belize,Costa Rica,23.5,0.020293609671848015
Nasua narica,Belize,Guatemala,10.5,0.009067357512953367
Nasua narica,Belize,Mexico,32.68181818181818,0.02822928936003141
Nasua narica,Belize,Panama,123.33333333333333,0.10650546919976972
Nasua narica,Belize,USA,53.9,0.04656721575855316
Nasua narica,Costa Rica,Guatemala,27.0,0.023316062176165803
Nasua narica,Costa Rica,Mexico,42.81818181818182,0.036984687868080096
Nasua narica,Costa Rica,Panama,130.83333333333334,0.11298215313759356
Nasua narica,Costa Rica,USA,58.4,0.0504550167031448
Nasua narica,Guatemala,Mexico,36.121212121212125,0.031200104698337915
Nasua narica,Guatemala,Panama,122.83333333333333,0.10607369027058146
Nasua narica,Guatemala,USA,57.4,0.04959106093767999
Nasua narica,Mexico,Panama,128.5909090909091,0.11107184923439341
Nasua narica,Mexico,USA,36.30909090909091,0.031376403366508446
Nasua narica,Panama,USA,132.83333333333334,0.11476212417924203
